default,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,1,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,0.027062649,Y,,29-Feb-20
1,0,1.867784437,0.066157442,1.666478059,1.915782436,-0.504304906,0,1,10,,N,Low,29-Feb-20
1,5,1.867784437,-0.290540296,1.666478059,1.915782436,0.259899026,0,1,10,0.948566945,Y,,29-Feb-20
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.122392176,Y,Low,5-Mar-19
1,1,1.867784437,0.066157442,1.666478059,1.915782436,0.230768773,1,1,10,,N,High,5-Mar-19
1,2,1.867784437,4.313933758,1.666478059,-0.096194976,0.230768773,0,1,10,0.348868934,N,Low,5-Mar-19
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,0.640028569,Y,Low,29-Feb-20
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,2,10,,Y,Low,5-Mar-19
0,2,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,0.977886496,Y,Low,5-Mar-19
0,0,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.230768773,0,1,10,0.890442403,N,High,31-Jan-18
0,1,-1.16726471,0.066157442,-0.227743901,-0.477077425,0.647261887,0,1,10,0.451336737,Y,,29-Feb-20
1,0,-0.351837351,0.066157442,1.666478059,-0.096194976,0.230768773,0,1,10,,Y,Low,29-Feb-20
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,0.479448375,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,2,10,0.935180097,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,1,10,0.342303828,Y,High,29-Feb-20
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,,N,Low,5-Mar-19
0,0,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.100076827,N,Low,29-Feb-20
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,2,10,0.01194155,N,,29-Feb-20
0,2,1.867784437,-0.290540296,-0.490906623,-0.477077425,-0.900150976,0,1,10,0.598658296,N,Low,5-Mar-19
0,1,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,0.262612828,N,High,29-Feb-20
0,2,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,0.585479405,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.550505767,N,,29-Feb-20
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.122531337,N,,31-Jan-18
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,0.995787177,N,Low,5-Mar-19
0,10,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.626299075,N,,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,Low,5-Mar-19
0,1,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.259899026,1,1,10,0.072873387,N,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,,Y,Low,29-Feb-20
1,1,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,,N,High,5-Mar-19
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,0.326834342,N,Low,29-Feb-20
0,1,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.391684899,1,1,10,0.230833688,N,Low,5-Mar-19
1,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,1,10,0.573054627,N,Low,5-Mar-19
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,0.406273195,0,1,10,0.715895581,N,Low,5-Mar-19
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,,Y,Low,5-Mar-19
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,,29-Feb-20
0,1,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.259899026,1,2,10,,N,,5-Mar-19
0,0,-1.16726471,0.066157442,-0.227743901,-0.477077425,-0.504304906,0,1,10,0.488705032,N,Low,31-Jan-18
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,,Y,Low,29-Feb-20
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.205117951,Y,Low,5-Mar-19
0,1,-1.16726471,0.066157442,-0.227743901,-0.477077425,0.647261887,1,1,10,,Y,Low,31-Jan-18
0,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.647261887,1,1,10,,Y,,29-Feb-20
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,,N,Low,31-Jan-18
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.833767806,Y,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,,Y,Low,29-Feb-20
0,1,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,,N,High,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.062138429,N,Low,31-Jan-18
1,3,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.243810139,Y,High,5-Mar-19
0,1,-1.16726471,0.066157442,-0.227743901,-0.477077425,0.647261887,1,1,10,0.861919193,N,Low,5-Mar-19
0,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.527320503,N,,29-Feb-20
0,1,-1.16726471,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,,N,Low,31-Jan-18
0,2,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,High,31-Jan-18
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.870467702,Y,,29-Feb-20
1,3,1.867784437,0.066157442,1.666478059,-0.096194976,0.230768773,1,1,10,0.90383533,N,,29-Feb-20
0,4,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.504304906,1,1,10,0.200085133,N,Low,31-Jan-18
1,3,1.867784437,0.066157442,1.666478059,1.915782436,0.230768773,0,1,10,0.951453537,N,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,1,1,10,,Y,Low,5-Mar-19
0,1,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.151512656,N,Low,29-Feb-20
0,1,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.732765493,Y,,29-Feb-20
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,0.940580152,N,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,1.915782436,0.230768773,0,1,10,0.937331422,Y,,5-Mar-19
1,0,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.230768773,0,2,10,,Y,,5-Mar-19
1,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.711577092,N,High,29-Feb-20
1,0,-1.360383125,0.066157442,1.666478059,-0.096194976,0.647261887,0,2,10,0.000988888,N,High,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.779094733,Y,,5-Mar-19
1,1,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.230768773,0,1,10,0.229043276,N,,31-Jan-18
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.492239036,N,Low,31-Jan-18
0,1,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,,N,,29-Feb-20
0,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,Low,29-Feb-20
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.391684899,1,1,10,0.943884453,Y,Low,5-Mar-19
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.008971847,Y,Low,29-Feb-20
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,0.837277516,N,High,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,,N,,5-Mar-19
0,0,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,,29-Feb-20
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,0.406273195,1,1,10,0.813958323,Y,High,29-Feb-20
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,0.041204564,N,High,5-Mar-19
0,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,Low,29-Feb-20
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.623895433,Y,Low,29-Feb-20
